time_ago,titles,subtitles,location,images,links
,Crime commissioner backs grooming abuse inquiry,,,https://ichef.bbci.co.uk/news/480/cpsprodpb/797e/live/4376d390-d28c-11ef-942b-c3287c803118.jpg.webp,https://www.bbc.com/news/articles/c4g9z6jy48qo
,Two men arrested in organised crime investigation,,,https://ichef.bbci.co.uk/news/480/cpsprodpb/e504/live/be251550-d7f7-11ef-b838-1f1681f9d23f.jpg.webp,https://www.bbc.com/news/articles/c391jymywjko
,Tributes paid to 'visionary' anti-crime campaigner,,,https://ichef.bbci.co.uk/news/480/cpsprodpb/bd47/live/2cb9da80-d0cf-11ef-acea-1bca33aa049a.jpg.webp,https://www.bbc.com/news/articles/cjex302y2x8o
,Organised crime members jailed for drug offences,,,https://ichef.bbci.co.uk/news/480/cpsprodpb/bcd8/live/c3654950-cd1f-11ef-87df-d575b9a434a4.jpg.webp,https://www.bbc.com/news/articles/cvg62099x31o
,Deputy crime commissioner quits after five months,,,https://ichef.bbci.co.uk/news/480/cpsprodpb/b00b/live/a830b510-ccc6-11ef-955a-3f10763e3070.jpg.webp,https://www.bbc.com/news/articles/cdxz12pzyx4o
,"Youth knife crime reduced, figures show",,,https://ichef.bbci.co.uk/news/480/cpsprodpb/914c/live/26c1ee90-c938-11ef-b46c-cd32da1b308e.jpg.webp,https://www.bbc.com/news/articles/ckgx44zgd4ko
,New community centre could cut crime - charity,,,https://ichef.bbci.co.uk/news/480/cpsprodpb/fecf/live/b8dac2f0-c917-11ef-bc8d-c112aaf85996.jpg.webp,https://www.bbc.com/news/articles/c8xjnwvwky0o
,Slash threat burglar jailed for latest crime spree,,,https://ichef.bbci.co.uk/news/480/cpsprodpb/76b9/live/27194090-cd0d-11ef-be31-9b061b0a7592.jpg.webp,https://www.bbc.com/news/articles/c62wpdq6kwdo
,Signs on school railings treated as hate crime,,,https://ichef.bbci.co.uk/news/480/cpsprodpb/48c7/live/0cae23c0-cce9-11ef-9037-831caed8b0db.jpg.webp,https://www.bbc.com/news/articles/cwy89wgzwl3o
,Could new crime drama be the Gaelic Squid Game?,,,https://ichef.bbci.co.uk/news/480/cpsprodpb/df77/live/a3f629c0-d1d6-11ef-858a-3ffeee956fe5.jpg.webp,https://www.bbc.com/news/articles/cqx9w9x77dro
,Crime drama shot in Bradford to have city premiere,,,https://ichef.bbci.co.uk/news/480/cpsprodpb/3ec5/live/e1a9fb80-d351-11ef-8ee5-5100e9033936.jpg.webp,https://www.bbc.com/news/articles/cgj268y46w7o
,Knife crime up by 400 incidents in one year,,,https://ichef.bbci.co.uk/news/480/cpsprodpb/eeba/live/571802d0-d33a-11ef-94cb-5f844ceb9e30.jpg.webp,https://www.bbc.com/news/articles/c3w8qzzd2j0o
,Concern crimes being planned sees order enforced,,,https://ichef.bbci.co.uk/news/480/cpsprodpb/1e62/live/ba689cb0-d6fe-11ef-9fd6-0be88a764111.jpg.webp,https://www.bbc.com/news/articles/crkexd008e4o
,Police treat vandalism of menorah as hate crime,,,https://ichef.bbci.co.uk/news/480/cpsprodpb/ac95/live/772edb10-c6e3-11ef-8f52-b7ddc9628008.jpg.webp,https://www.bbc.com/news/articles/c93g6rq1kyvo
,Italy releases Libyan wanted for alleged war crimes,,,https://ichef.bbci.co.uk/news/480/cpsprodpb/b8bd/live/48ea5a50-d8d0-11ef-86b5-b74cbf3823dc.jpg.webp,https://www.bbc.com/news/articles/cvged9n0m19o
,"Antisemitic crimes may be funded overseas, say Australian police",,,https://ichef.bbci.co.uk/news/480/cpsprodpb/e5dd/live/400114b0-d7e5-11ef-859d-37bc8d58e371.jpg.webp,https://www.bbc.com/news/articles/c8057j0mz5mo
,The Scottish cafe helping prisoners escape a life of crime,,,https://ichef.bbci.co.uk/news/480/cpsprodpb/27f4/live/47b8bd30-c1dc-11ef-a2ca-e99d0c9a24e3.jpg.webp,https://www.bbc.com/news/videos/c23vrgm3l74o
,Police issue warning over rising doorstep crime,,,https://ichef.bbci.co.uk/news/480/cpsprodpb/dbda/live/80dc7fe0-c130-11ef-9f09-23b1103db065.jpg.webp,https://www.bbc.com/news/articles/cg7rvmxe2k0o
,Islamophobic and anti-Semitic hate crimes rising,,,https://ichef.bbci.co.uk/news/480/cpsprodpb/51e8/live/50b8f070-c69c-11ef-aff0-072ce821b6ab.png.webp,https://www.bbc.com/news/articles/cp83p4v4leno
,Police say fatal stabbing of 14-year-old boy on London bus is 'horrendous crime',,,https://ichef.bbci.co.uk/ace/standard/480/cpsprodpb/52bb/live/4e8302e0-cd19-11ef-94cb-5f844ceb9e30.jpg.webp,https://www.bbc.com/news/articles/c99yp8g7rmlo
,Libyan police chief arrested in Italy for alleged war crimes - reports,,,https://ichef.bbci.co.uk/news/480/cpsprodpb/e9c8/live/a900abf0-d80e-11ef-94cb-5f844ceb9e30.jpg.webp,https://www.bbc.com/news/articles/clyjmlvyzj4o
,How a town got together to cut crime by a third,,,https://ichef.bbci.co.uk/news/480/cpsprodpb/a1c7/live/1d730ba0-c463-11ef-a1bc-3781807aeb0a.jpg.webp,https://www.bbc.com/news/articles/ce3legwxn6go
